Nome,ALG FTP,FM 23-24,FM 22-23,FM 21-22,attributi,Res. Inf.
PONGRACIC,67/100,5.73,5.79,5.89,['Titolare'],40%
ORDONEZ,52/100,nd,nd,nd,"['Panchinaro', 'Buona Media', 'Assistman', 'Giovane talento']",60%
HOLM,57/100,6.13,6.16,6.17,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",60%
HERMOSO,51/100,4.88,nd,nd,"['Panchinaro', 'Buona Media', 'Falloso']",60%
BERTOLA,54/100,nd,nd,nd,"['Titolare', 'Giovane talento']",60%
FOLORUNSHO,59/100,5.79,6.44,nd,"['Titolare', 'Goleador', 'Falloso']",40%
CARNESECCHI,94/100,5.38,5.36,4.63,['Titolare'],60%
ROSSI,34/100,nd,nd,6.00,['Panchinaro'],80%
CIAMMAGLICHELLA,53/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",40%
BONFANTI,55/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",60%
UBANI,45/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",80%
BIRAGHI,79/100,5.90,6.02,6.19,"['Titolare', 'Assistman', 'Rigorista', 'Piazzati']",60%
NAVEROS,54/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",60%
CHARLYS,45/100,nd,nd,nd,"['Panchinaro', 'Falloso', 'Giovane talento']",60%
ESTUPINAN,74/100,nd,nd,nd,"['Outsider', 'Titolare', 'Assistman']",60%
BRESCIANINI,74/100,6.43,6.47,nd,"['Outsider', 'Panchinaro', 'Goleador', 'Piazzati']",60%
BUCHANAN,57/100,5.83,nd,nd,['Panchinaro'],40%
ROMAGNA,44/100,nd,nd,5.50,['Panchinaro'],60%
EHIZIBUE,68/100,5.82,5.86,5.93,"['Outsider', 'Titolare', 'Assistman']",60%
RAVAGLIA,38/100,nd,nd,3.56,['Panchinaro'],20%
AZON,64/100,nd,nd,nd,['Panchinaro'],60%
Di Gregorio,93/100,5.11,5.45,5.13,"['Fuoriclasse', 'Titolare']",60%
GONZALEZ,57/100,nd,nd,nd,"['Panchinaro', 'Falloso', 'Giovane talento']",40%
MORO,59/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Giovane talento']",80%
VASQUEZ,75/100,4.57,nd,nd,['Panchinaro'],60%
NJIE,59/100,6.27,nd,nd,"['Outsider', 'Panchinaro', 'Giovane talento']",60%
Di Gennaro,49/100,nd,nd,nd,['Panchinaro'],60%
LUCUMI',70/100,5.71,6.09,5.68,['Titolare'],60%
SATALINO,50/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Buona Media']",80%
MORENTE,60/100,6.16,nd,nd,['Panchinaro'],60%
DJIMSITI,74/100,5.89,5.88,5.89,"['Panchinaro', 'Buona Media']",60%
KOUASSI,51/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Buona Media', 'Falloso', 'Giovane talento']",80%
BISSECK,76/100,6.46,7.06,nd,"['Outsider', 'Panchinaro']",60%
MANDAS,63/100,5.50,5.75,nd,['Panchinaro'],60%
DALLINGA,72/100,6.41,nd,nd,['Panchinaro'],60%
ADDO,55/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Giovane talento']",80%
KILICSOY,58/100,nd,nd,nd,"['Titolare', 'Giovane talento']",80%
PAYERO,59/100,6.00,6.06,nd,"['Titolare', 'Goleador', 'Piazzati']",40%
IDZES,66/100,5.97,nd,nd,"['Titolare', 'Goleador']",40%
PASALIC,88/100,6.14,6.82,6.41,"['Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60%
THURAM,75/100,7.72,7.95,nd,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Goleador', 'Assistman']",60%
ROUHI,65/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Giovane talento']",80%
PALACIOS,55/100,5.08,nd,nd,"['Outsider', 'Panchinaro', 'Falloso']",60%
MAIGNAN,94/100,5.13,4.86,5.34,"['Fuoriclasse', 'Titolare', 'Buona Media']",60%
BORRELLI,49/100,nd,6.00,nd,"['Panchinaro', 'Falloso']",60%
