Squadra,Modulo,Titolari,RuoliTitolari,Panchina,RuoliPanchina,Ballottaggi,Squalificati,Diffidati,Infortunati,InDubbio
Inter,3-5-2,Thuram|Martinez L.|Dimarco|Zielinski|Calhanoglu|Barella|Diouf|Bastoni|Stones|Akanji|Martinez Jo.,,,,,Mkhitaryan,,,
Monza,3-4-2-1,Cutrone|Mota|Colpani|Mangas|Akinsanmiro|Pessina|Birindelli|Carboni A.|Delli Carri|Kouadio|Thiam,,,,,,,,
Udinese,3-5-1-1,Davis K.|Zaniolo|Kamara H.|Ekkelenkamp|Karlstrom|Piotrowski|Vojvoda|Solet|Kristensen T.|Bertola|Okoye,,,,,Kabasele,,"Zanoli: lesione del legamento crociato anteriore del ginocchio destro, rientro da inizio ottobre | Chakvetadze: frattura al terzo metatarso del piede destro, rientro da inizio settembre",
Como,4-2-3-1,Douvikas|Baturina|Paz N.|Diao|Da Cunha|Perrone|Kaiki|Ramon|Chalobah T.|Smolcic I.|Butez,,,,,,,"Addai: rottura tendine d'Achille, rientro da ottobre",
Genoa,3-4-2-1,Colombo|Vitinha O.|Baldanzi|Ellertsson|Amorim|Frendrup|Norton-Cuffy|Vasquez|Ostigard|Marcandalli|Bijlow,,,,,,,,
Napoli,4-3-3,Santos A.|Hojlund|Politano|McTominay|Lobotka|Zambo Anguissa|Spinazzola|Marin R.|Rrahmani|Di Lorenzo|Meret,,,,,,,"Beukema: patologia cronica bilaterale al tendine d'Achille, da valutare per Genova | Buongiorno: problema al menisco del ginocchio destro, rientro da ottobre | Marianucci: lesione di alto grado del collaterale mediale del ginocchio sinistro, out per Genova | Neres: infortunio alla caviglia sinistra con interessamento del tendine, da valutare convocazione contro il Genoa",
Parma,4-3-3,Tourè E.|Elphege|Almqvist|Bernabè|Keita M.|Sorensen O.|Valeri|Valenti|Circati|Delprato|Suzuki,,,,,Britschgi,,"Cremaschi: lesione del menisco esterno del ginocchio sinistro, tentativo rientro da ottobre | Nicolussi Caviglia: lesione di medio grado alla coscia destra, rientro da inizio settembre","Daffara: lesione di basso grado alla coscia destra, in dubbio convocazione contro il Cagliari"
Cagliari,4-3-1-2,Kevin Carlos|Maldini|Fazzini|Romano|Winks|Adopo|Obert|Rodriguez Ju.|Mina|Zè Pedro|Caprile,,,,,,,"Idrissi R.: rottura del legamento crociato, rientro da fine ottobre",
Frosinone,4-3-3,Schmid|Raimondo|Ghedjemis|Masini|Calò|Grillitsch|Bracaglia|Monterisi|Calvani|Oyono A.|Palmisani,,,,,,,,
Juventus,4-2-3-1,Kolo Muani|Yildiz|Alajbegovic|Conceicao|Locatelli|Thuram K.|Cambiaso|Kelly L.|Bremer|Kalulu|Di Gregorio,,,,,,,"Ekhator: lesione di basso grado del bicipite femorale della coscia destra, da valutare per Frosinone",
Venezia,3-5-2,Adams A.|Yeboah J.|Hainaut|Basic|Busio|Perez K.|Correia T.|Halhal|Bella-Kotchap|Schingtienne|Stankovic F.,,,,,,,"Sverko: problema all'anca, rientro fine ottobre | Adorante: problema alla schiena, tentativo di rientro da ottobre",
Lecce,4-3-3,N'Dri|Geubbels|Pierotti|Berisha M.|Ngom|Coulibaly L.|Gallo|Tiago Gabriel|Gaspar K.|Veiga D.|Falcone,,,,,,,,
Atalanta,4-3-3,Raspadori|Scamacca|De Ketelaere|Samardzic|Gaetano|Ederson D.S.|Bernasconi|Kolasinac|Scalvini|Zappacosta|Carnesecchi,,,,,,,"Hien: lesione del tendine prossimale del muscolo semimembranoso della coscia sinistra, rientro inizio ottobre | Sulemana K.: trauma distorsivo ginocchio sinistro, da valutare",
Sassuolo,4-2-3-1,Pinamonti|Laurientè|Adzic|Berardi|Matic|Thorstvedt|Doig|Idzes|Walukiewicz|Missori|Muric,,,,,,,"Candè: rottura legamento crociato anteriore ginocchio destro, tentativo rientro da metà settembre | Pieragnolo: lesione legamento crociato anteriore gamba destra, ipotesi rientro da ottobre | Boloca: problema al ginocchio, da valutare | Konè I.: rottura di tibia e perone gamba sinistra, rientro da dicembre",
Torino,3-4-2-1,Simeone|Vlasic|Casadei|Cacciamani|Fitz-Jim|Gineitis|Pedersen|Comert|Coco|Comuzzo|Paleari,,,,,,,,
Milan,3-4-2-1,Ramos G.|Leao|Nkunku|Bartesaghi|Rabiot|Modric|Saelemaekers|Pavlovic|Gabbia|Gila|Maignan,,,,,,,,"Pulisic: microfrattura al perone destro accompagnata da un edema osseo, in dubbio convocazione a Torino | Gimenez: distorsione alla caviglia, in forte dubbio per Torino"
Bologna,4-2-3-1,Dovbyk|Rowe|Bernardeschi|Orsolini|Ferguson|Amondarain|Miranda J.|Lucumì|Heggem|Zortea|Skorupski,,,,,,,,
Lazio,4-3-3,Zaccagni|Dia|Cancellieri|Dele-Bashiru|Rovella|Taylor K.|Pedraza|Romagnoli|Doekhi|Marusic|Mandas,,,,,,,"Patric: problema fisico, da valutare per Bologna | Pellegrini Lu.: problema alla caviglia, da valutare per Bologna","Cataldi: ernia bilaterale, in dubbio convocazione a Bologna | Isaksen: pubalgia, in dubbio convocazione a Bologna"
Roma,3-4-2-1,Malen|Dybala|Soulè|Wesley|Cristante|Konè M.|Molina N.|Hermoso|N'Dicka|Mancini|Svilar,,,,,,,,
Fiorentina,4-3-3,Gudmundsson A.|Kean|Mastantuono|Atta|Oulai|Ndour|Valdepenas|Viery|Dragusin|Dodò|De Gea,,,,,,,"Parisi: infortunio al legamento crociato, rientro da novembre",
