Squadra,Ruolo,Slot,Nomi
Atalanta,P,1,Carnesecchi
Atalanta,D,1,Zappacosta|Bellanova
Atalanta,D,2,Scalvini
Atalanta,D,3,Kolasinac|Hien
Atalanta,D,4,Bernasconi|Ahanor
Atalanta,C,1,Samardzic|Pasalic
Atalanta,C,2,Gaetano|De Roon
Atalanta,C,3,Ederson D.s.
Atalanta,A,1,De Ketelaere
Atalanta,A,2,Scamacca|Krstovic
Atalanta,A,3,Raspadori
Bologna,P,1,Skorupski
Bologna,D,1,Zortea|Holm
Bologna,D,2,Vitik|Heggem
Bologna,D,3,Lucumì
Bologna,D,4,Miranda J.
Bologna,C,1,Bernardeschi|Odgaard
Bologna,C,2,Pobega|Moro N.
Bologna,C,3,Ferguson
Bologna,A,1,Orsolini
Bologna,A,2,Dovbyk
Bologna,A,3,Rowe
Cagliari,P,1,Caprile
Cagliari,D,1,Zè Pedro|Zappa
Cagliari,D,2,Mina|Deiola
Cagliari,D,3,Rodriguez Ju.
Cagliari,D,4,Obert
Cagliari,C,1,Adopo
Cagliari,C,2,Winks
Cagliari,C,3,Romano
Cagliari,A,1,Maldini
Cagliari,A,2,Kevin Carlos|Mendy P.|Borrelli
Cagliari,A,3,Fazzini
Como,P,1,Butez
Como,D,1,Couto|Smolcic I.
Como,D,2,Ramon|Kempf
Como,D,3,Chalobah T.
Como,D,4,Valle|Kaiki
Como,C,1,Perrone|Milla
Como,C,2,Da Cunha
Como,A,1,Diao|Rodriguez Je.
Como,A,2,Paz N.
Como,A,3,Baturina
Fiorentina,P,1,De Gea
Fiorentina,D,1,Jimenez A.|Joao Mario
Fiorentina,D,2,Dragusin
Fiorentina,D,3,Viery|Ranieri L.
Fiorentina,D,4,Valdepenas
Fiorentina,C,1,Oulai
Fiorentina,C,2,Fagioli
Fiorentina,C,3,Ndour|Gudmundsson A.
Fiorentina,A,1,Atta
Fiorentina,A,2,Mastantuono
Frosinone,P,1,Palmisani|Desplanches
Frosinone,D,1,Oyono A.
Frosinone,D,2,Akpoguma
Frosinone,D,3,Monterisi|Calvani
Frosinone,D,4,Bracaglia
Frosinone,C,1,Masini|Koutsoupias
Frosinone,C,2,Grillitsch|Calò
Frosinone,C,3,El Azzouzi A.|Gelli F.
Frosinone,A,1,Schmid|Ghedjemis
Frosinone,A,2,Raimondo
Frosinone,A,3,Zerbin|Kvernadze
Genoa,P,1,Bijlow
Genoa,D,1,Marcandalli
Genoa,D,2,Ostigard
Genoa,D,3,Vasquez
Genoa,C,1,Norton-Cuffy
Genoa,C,2,Sow
Genoa,C,3,Frendrup
Genoa,C,4,Mitaj|Ellertsson
Genoa,A,1,Baldanzi|Traorè Hj.
Genoa,A,2,Vitinha O.|Meichtry
Inter,P,1,Martinez Jo.|Provedel
Inter,D,1,Akanji
Inter,D,2,Stones|Bisseck
Inter,D,3,Bastoni
Inter,C,1,Diouf|Luis Henrique
Inter,C,2,Barella
Inter,C,3,Calhanoglu
Inter,C,4,Zielinski|Sucic P.
Inter,C,5,Dimarco
Inter,A,1,Martinez L.
Inter,A,2,Thuram
Juventus,P,1,Di Gregorio
Juventus,D,1,Kalulu
Juventus,D,2,Bremer
Juventus,D,3,Kelly L.
Juventus,D,4,Cambiaso
Juventus,C,1,Thuram K.
Juventus,C,2,Locatelli
Juventus,A,1,Alajbegovic|Conceicao
Juventus,A,2,Mckennie
Juventus,A,3,Yildiz
Lazio,P,1,Mandas
Lazio,D,1,Marusic
Lazio,D,2,Doekhi
Lazio,D,3,Romagnoli|Provstgaard
Lazio,D,4,Pedraza|Tavares N.
