NomeFCP,Ruolo,SquadraFCP,ALG,FM1,FM2,FM3,Attributi,ResInf
CARNESECCHI MARCO,P,Atalanta,95/100,5.58,5.38,5.36,Titolare,60%
DI GREGORIO MICHELE,P,Juventus,95/100,5.33,5.11,5.45,Fuoriclasse | Titolare,60%
MAIGNAN MIKE,P,Milan,95/100,5.42,5.13,4.86,Fuoriclasse | Titolare | Buona Media,60%
MILINKOVIC SAVIC VANJA,P,Napoli,95/100,5.65,5.51,5.21,Titolare | Rigorista,60%
SVILAR MILE,P,Roma,90/100,5.45,5.32,5.38,Titolare | Buona Media,60%
FALCONE WLADIMIRO,P,Lecce,89/100,5.22,4.85,4.79,Titolare | Buona Media | Rigorista,80%
DE GEA DAVID,P,Fiorentina,88/100,5.00,5.38,nd,Fuoriclasse | Titolare,60%
BUTEZ JEAN,P,Como,86/100,5.37,5.18,nd,Titolare,60%
Consigli Fantacalcio giornata 38,P,,N/A,N/A,N/A,N/A,,N/A
MERET ALEX,P,Napoli,81/100,5.18,5.78,4.90,Titolare | Buona Media,60%
OKOYE MADUKA,P,Udinese,79/100,5.08,4.46,4.82,Outsider | Titolare,40%
CAPRILE ELIA,P,Cagliari,78/100,4.87,5.12,5.21,Titolare | Buona Media,60%
SUZUKI ZION,P,Parma,73/100,4.75,4.79,nd,Titolare,60%
SOMMER YANN,P,Inter,73/100,5.02,5.35,5.65,Titolare | Buona Media,40%
PROVEDEL IVAN,P,Lazio,70/100,5.35,4.67,5.14,Titolare | Buona Media,60%
,P,,N/A,N/A,N/A,N/A,,N/A
TURATI STEFANO,P,Sassuolo,68/100,5.00,4.78,4.43,Panchinaro | Buona Media,80%
MURIC ARIJANET,P,Sassuolo,66/100,4.77,nd,nd,Titolare,60%
MARTINEZ JOSEP,P,Inter,65/100,5.20,5.70,4.94,Panchinaro,60%
SKORUPSKI LUKASZ,P,Bologna,65/100,5.32,4.90,5.31,Titolare | Buona Media | Rigorista,60%
PALEARI ALBERTO,P,Torino,58/100,4.82,3.50,nd,Panchinaro | Buona Media,80%
ISRAEL WIBMER FRANCO,P,Torino,58/100,4.31,nd,nd,Outsider | Titolare,80%
LEALI NICOLA,P,Genoa,58/100,4.84,5.10,5.50,Titolare,60%
PALMISANI LORENZO,P,Frosinone,55/100,nd,nd,nd,Titolare,60%
CORVI EDOARDO,P,Parma,54/100,5.09,nd,nd,Panchinaro,60%
SATALINO GIACOMO,P,Sassuolo,54/100,nd,nd,nd,Outsider | Panchinaro | Buona Media,80%
THIAM DEMBA,P,Monza,53/100,nd,nd,nd,Titolare | Giovane talento,60%
GOLLINI PIERLUIGI,P,Roma,51/100,nd,3.58,4.86,Panchinaro,80%
PERIN MATTIA,P,Juventus,51/100,5.11,5.50,5.50,Panchinaro | Buona Media,60%
STANKOVIC FILIP,P,Venezia,51/100,nd,5.28,nd,Titolare | Giovane talento,60%
POPA MIHAI,P,Torino,50/100,nd,nd,nd,Panchinaro | Buona Media,60%
TÖRNQVIST NOEL,P,Como,49/100,nd,nd,nd,Panchinaro,60%
CONTINI NIKITA,P,Napoli,49/100,6.00,nd,6.00,Panchinaro,60%
LEZZERINI LUCA,P,Fiorentina,48/100,6.00,nd,nd,Panchinaro,60%
PINSOGLIO CARLO,P,Juventus,48/100,nd,nd,nd,Outsider | Panchinaro,60%
DI GENNARO RAFFAELE,P,Inter,45/100,5.00,nd,nd,Panchinaro,60%
PESSINA MASSIMO,P,Bologna,45/100,5.63,nd,nd,Panchinaro | Giovane talento,60%
TORRIANI LORENZO,P,Milan,45/100,nd,nd,nd,Panchinaro,60%
MANDAS CHRISTOS,P,Lazio,43/100,nd,5.50,5.75,Panchinaro,60%
SAMOOJA JASPER LAURI PETTERI,P,Lecce,43/100,nd,nd,nd,Outsider | Panchinaro,80%
RADUNOVIC BORIS,P,Cagliari,43/100,nd,nd,4.00,Panchinaro,60%
FURLANETTO ALESSIO,P,Lazio,43/100,4.83,nd,nd,Panchinaro,60%
POZZI ALESSIO,P,Venezia,42/100,nd,nd,nd,Panchinaro,60%
TERRACCIANO PIETRO,P,Milan,42/100,6.00,5.17,5.28,Panchinaro,60%
FRUCHTL CHRISTIAN,P,Lecce,42/100,nd,nd,nd,Panchinaro,60%
SAVA RAZVAN,P,Udinese,42/100,4.08,4.67,nd,Panchinaro,60%
ROSSI FRANCESCO,P,Atalanta,42/100,nd,nd,nd,Panchinaro,80%
VIGORITO MAURO,P,Como,41/100,nd,nd,nd,Panchinaro,80%
ZACCHI GIOELE,P,Sassuolo,41/100,nd,nd,nd,Panchinaro,80%
SPORTIELLO MARCO,P,Atalanta,41/100,4.50,5.00,4.57,Panchinaro | Buona Media,80%
NUNZIANTE ALESSANDRO,P,Udinese,39/100,nd,nd,nd,Panchinaro | Giovane talento,80%
PIZZIGNACCO SEMUEL,P,Monza,37/100,nd,4.44,nd,Panchinaro | Giovane talento,60%
DESPLANCHES SEBASTIANO,P,Frosinone,37/100,nd,nd,nd,Panchinaro,60%
PISSERI MATTEO,P,Frosinone,36/100,nd,nd,nd,Panchinaro,60%
SOMMARIVA DANIELE,P,Genoa,35/100,3.75,6.00,nd,Panchinaro,60%
SIEGRIST BENJAMIN,P,Genoa,32/100,nd,5.50,nd,Panchinaro,60%
RINALDI FILIPPO,P,Parma,32/100,6.50,nd,nd,Panchinaro,60%
CIOCCI GIUSEPPE,P,Cagliari,32/100,nd,6.00,nd,Panchinaro | Giovane talento,60%
PADELLI DANIELE,P,Udinese,26/100,5.25,6.50,nd,Panchinaro,80%
KALULU PIERRE,D,Juventus,97/100,6.35,6.04,5.83,Outsider | Titolare,60%
DIMARCO FEDERICO,D,Inter,93/100,7.64,6.83,7.25,Fuoriclasse | Titolare | Buona Media | Goleador | Assistman | Piazzati,60%
MANCINI GIANLUCA,D,Roma,93/100,6.51,6.26,6.21,Titolare | Buona Media | Falloso,80%
DODO' DOMILSON,D,Fiorentina,90/100,6.03,6.17,5.80,Titolare | Buona Media,40%
CAMBIASO ANDREA,D,Juventus,89/100,5.99,6.20,6.12,Titolare | Buona Media,40%
AUGUSTO CARLOS,D,Inter,88/100,6.16,6.67,6.21,Panchinaro | Buona Media | Piazzati,60%
DI LORENZO GIOVANNI,D,Napoli,87/100,6.33,6.41,6.24,Fuoriclasse | Titolare | Buona Media | Goleador,80%
ZAPPACOSTA DAVIDE,D,Atalanta,85/100,6.28,6.27,6.07,Panchinaro | Buona Media | Assistman,60%
VASQUEZ JOHAN,D,Genoa,85/100,6.14,6.22,6.17,Titolare | Buona Media | Falloso,80%
GALLO ANTONINO,D,Lecce,84/100,5.99,5.62,6.00,Titolare | Buona Media,40%
PAVLOVIC STRAHINJA,D,Milan,84/100,6.62,6.11,nd,Outsider | Titolare | Buona Media | Falloso,40%
CELIK ZEKI,D,Roma,82/100,6.26,5.75,5.80,Titolare | Buona Media | Falloso,60%
RRAHMANI AMIR,D,Napoli,81/100,6.45,6.19,6.14,Titolare,60%
,D,,N/A,N/A,N/A,N/A,,N/A
BREMER GLAISON,D,Juventus,81/100,6.81,6.30,6.37,Titolare | Buona Media,40%
,D,,N/A,N/A,N/A,N/A,,N/A
VALERI EMANUELE,D,Parma,80/100,6.09,6.26,5.62,Titolare | Assistman,60%
PEDERSEN MARCUS,D,Torino,80/100,5.95,5.54,5.73,Titolare | Buona Media | Assistman,60%
PONGRACIC MARIN,D,Fiorentina,80/100,5.67,5.73,5.79,Titolare,40%
BUONGIORNO ALESSANDRO,D,Napoli,79/100,5.86,6.45,6.57,Outsider | Titolare,60%
DELPRATO ENRICO,D,Parma,79/100,6.01,6.21,nd,Outsider | Titolare | Assistman,60%
MIRANDA JUAN,D,Bologna,79/100,6.11,6.16,nd,Outsider | Titolare | Buona Media | Falloso,60%
ATHEKAME ZACHARY,D,Milan,79/100,6.53,nd,nd,Titolare | Assistman | Giovane talento,60%
DUMFRIES DENZEL,D,Inter,79/100,6.58,7.02,6.57,Outsider | Titolare | Buona Media | Assistman,60%
SMOLCIC IVAN,D,Como,78/100,5.84,5.75,nd,Panchinaro,60%
LIMA WESLEY,D,Roma,78/100,6.47,nd,nd,Outsider | Titolare | Buona Media | Assistman | Giovane talento,80%
,D,,N/A,N/A,N/A,N/A,,N/A
GABBIA MATTEO,D,Milan,78/100,5.84,6.04,6.30,Panchinaro,60%
,D,,N/A,N/A,N/A,N/A,,N/A
KELLY LLOYD,D,Juventus,77/100,6.07,5.63,nd,Panchinaro | Buona Media,40%
OLIVERA MATHIAS,D,Napoli,77/100,5.68,6.05,5.90,Titolare | Assistman,60%
BELLANOVA RAOUL,D,Atalanta,77/100,5.82,6.27,6.38,Outsider | Titolare,80%
ROMAGNOLI ALESSIO,D,Lazio,77/100,5.91,5.90,5.83,Titolare | Buona Media,60%
BEUKEMA SAM,D,Napoli,77/100,6.15,5.94,6.04,Titolare | Goleador,60%
KEMPF MARC OLIVER,D,Como,77/100,6.52,5.73,nd,Outsider | Titolare | Goleador,60%
ANGELINO JOSE ANGEL,D,Roma,76/100,5.67,6.33,5.82,Outsider | Titolare | Buona Media | Assistman,60%
AKANJI MANUEL OBAFEMI,D,Inter,76/100,6.41,nd,nd,Titolare | Buona Media,80%
NDICKA EVAN,D,Roma,76/100,6.32,6.03,5.92,Titolare | Buona Media | Falloso,60%
MARTIN AARON,D,Genoa,76/100,6.10,6.34,5.84,Outsider | Titolare | Goleador | Assistman,60%
VALLE ALEX,D,Como,75/100,6.23,5.73,nd,Titolare | Giovane talento,60%
TOMORI FIKAYO,D,Milan,75/100,5.88,5.79,6.37,Titolare | Buona Media,60%
BASTONI ALESSANDRO,D,Inter,75/100,6.34,6.59,6.41,Titolare | Buona Media,60%
DJIMSITI BERAT,D,Atalanta,75/100,5.80,5.89,5.88,Panchinaro | Buona Media,60%
ZORTEA NADIR,D,Bologna,75/100,5.89,6.63,6.62,Titolare | Buona Media | Assistman,60%
ZALEWSKI NICOLA,D,Atalanta,75/100,6.40,6.22,5.76,Panchinaro | Assistman | Falloso | Giovane talento,60%
COCO SAUL,D,Torino,75/100,5.91,5.81,nd,Outsider | Titolare | Buona Media | Falloso,60%
BISSECK YANN AUREL,D,Inter,75/100,6.65,6.46,7.06,Outsider | Panchinaro,60%
MARUSIC ADAM,D,Lazio,74/100,5.97,6.17,5.74,Titolare | Assistman,60%
SPINAZZOLA LEONARDO,D,Napoli,73/100,6.53,6.25,6.30,Outsider | Panchinaro | Buona Media | Assistman,20%
BARTESAGHI DAVIDE,D,Milan,73/100,6.05,nd,nd,Panchinaro | Giovane talento,80%
GUTIERREZ MIGUEL,D,Napoli,73/100,6.17,nd,nd,Titolare | Assistman | Falloso,80%
PELLEGRINI LUCA,D,Lazio,73/100,5.81,6.11,5.77,Panchinaro | Buona Media,60%
HERMOSO MARIO,D,Roma,73/100,6.41,4.88,nd,Panchinaro | Buona Media | Falloso,60%
SOLET OUMAR,D,Udinese,72/100,6.40,6.29,nd,Outsider | Titolare | Buona Media,80%
WALUKIEWICZ SEBASTIAN,D,Sassuolo,72/100,5.74,5.58,5.62,Titolare | Falloso,40%
IDZES JAY,D,Sassuolo,72/100,5.91,5.97,nd,Titolare | Goleador,40%
MAZZOCCHI PASQUALE,D,Napoli,72/100,6.10,5.65,5.64,Panchinaro | Assistman | Falloso,60%
SCALVINI GIORGIO,D,Atalanta,71/100,6.44,5.25,6.08,Titolare | Giovane talento,80%
RENSCH DEVYNE,D,Roma,70/100,6.48,6.19,nd,Panchinaro | Assistman | Falloso | Giovane talento,40%
RANIERI LUCA,D,Fiorentina,70/100,5.79,5.82,5.93,Titolare | Buona Media,80%
,D,,N/A,N/A,N/A,N/A,,N/A
NAVEROS JACOBO RAMON,D,Como,70/100,6.14,nd,nd,Titolare | Giovane talento,60%
OBERT ADAM,D,Cagliari,69/100,5.82,6.05,5.29,Titolare,80%
LAZARO VALENTINO,D,Torino,69/100,5.70,5.97,6.07,Outsider | Panchinaro,60%
GATTI FEDERICO,D,Juventus,69/100,6.22,6.22,6.11,Titolare,40%
GILA MARIO,D,Lazio,69/100,5.95,5.82,5.93,Panchinaro,60%
PARISI FABIANO,D,Fiorentina,69/100,5.98,6.22,5.64,Panchinaro | Buona Media | Assistman,60%
EHIZIBUE KINGLSLEY,D,Udinese,69/100,5.96,5.82,5.86,Outsider | Titolare | Assistman,60%
TAVARES NUNO,D,Lazio,69/100,5.80,6.52,nd,Titolare | Assistman,40%
