Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,Rigori,RigoriParati,Assist,Ammonizioni,Espulsioni
Venturino,GEN,3.0,6.83,8.83,2.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Retegui,ATA,36.0,6.5,8.67,25.0,0.0,4 / 5,0.0,7.0,2.0,0.0
Orsolini,BOL,29.0,6.53,8.19,15.0,0.0,3 / 3,0.0,4.0,2.0,0.0
Kean,FIO,32.0,6.42,8.08,19.0,0.0,1 / 2,0.0,2.0,6.0,0.0
Lookman,ATA,31.0,6.42,7.94,15.0,0.0,1 / 1,0.0,4.0,4.0,0.0
Diao,COM,14.0,6.5,7.93,7.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Ondrejka,PAR,10.0,6.35,7.85,5.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Zapata D.,TOR,7.0,6.57,7.79,3.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Kolo Muani,JUV,16.0,6.22,7.78,8.0,0.0,1 / 1,0.0,1.0,0.0,0.0
Thuram,INT,32.0,6.33,7.75,14.0,0.0,0 / 0,0.0,4.0,1.0,0.0
McTominay,NAP,34.0,6.56,7.66,12.0,0.0,0 / 0,0.0,3.0,3.0,0.0
Lukaku,NAP,36.0,6.29,7.57,14.0,0.0,3 / 4,0.0,9.0,4.0,0.0
Pulisic,MIL,34.0,6.38,7.49,11.0,0.0,3 / 4,0.0,8.0,1.0,0.0
Dybala,ROM,20.0,6.48,7.48,6.0,0.0,3 / 3,0.0,3.0,2.0,0.0
Martinez L.,INT,31.0,6.19,7.44,12.0,0.0,0 / 0,0.0,3.0,1.0,0.0
Gabrielloni,COM,4.0,6.5,7.38,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Vlahovic,JUV,25.0,6.12,7.38,10.0,0.0,4 / 4,0.0,3.0,3.0,0.0
Ndoye,BOL,29.0,6.47,7.36,8.0,0.0,2 / 2,0.0,4.0,4.0,0.0
Saelemaekers,ROM,22.0,6.39,7.36,7.0,0.0,0 / 0,0.0,3.0,5.0,0.0
Pedro,LAZ,28.0,6.21,7.27,10.0,0.0,2 / 2,0.0,1.0,3.0,0.0
Cornet,GEN,6.0,6.08,7.25,2.0,0.0,0 / 0,0.0,1.0,0.0,0.0
Kvaratskhelia,NAP,17.0,6.21,7.24,5.0,0.0,1 / 1,0.0,3.0,1.0,0.0
Raspadori,NAP,18.0,6.19,7.22,6.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Thauvin,UDI,24.0,6.31,7.19,8.0,0.0,1 / 3,0.0,3.0,0.0,0.0
Dovbyk,ROM,32.0,6.0,7.19,12.0,0.0,2 / 2,0.0,2.0,0.0,0.0
