Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,RigoriSegnati,RigoriTirati,RigoriParati,Assist,Ammonizioni,Espulsioni
De Luca,CRE,1.0,7.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Lukaku,NAP,1.0,7.0,9.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Malen,ROM,18.0,6.72,8.97,14.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0
Martinez L.,INT,30.0,6.42,8.25,17.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0
Thuram,INT,29.0,6.43,7.95,13.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
Dimarco,INT,35.0,6.6,7.64,7.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0
Calhanoglu,INT,22.0,6.52,7.64,9.0,0.0,4.0,5.0,0.0,4.0,7.0,0.0
Belotti,CAG,4.0,6.12,7.62,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Scamacca,ATA,22.0,6.18,7.55,10.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0
Hojlund,NAP,33.0,6.21,7.44,12.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0
Douvikas,COM,36.0,6.18,7.38,14.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Davis K.,UDI,30.0,6.32,7.37,10.0,0.0,4.0,4.0,0.0,4.0,5.0,0.0
Vlahovic,JUV,18.0,6.14,7.31,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Paz N.,COM,35.0,6.37,7.3,12.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0
Yildiz,JUV,35.0,6.39,7.3,10.0,0.0,1.0,2.0,0.0,6.0,2.0,0.0
McTominay,NAP,33.0,6.39,7.26,10.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
De Bruyne,NAP,17.0,6.26,7.24,5.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0
Santos A.,NAP,13.0,6.35,7.23,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kostic,JUV,10.0,6.2,7.2,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Krstovic,ATA,32.0,6.16,7.19,10.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0
Berardi,SAS,26.0,6.31,7.19,8.0,0.0,2.0,3.0,0.0,4.0,2.0,1.0
Boga,JUV,13.0,6.19,7.15,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Baturina,COM,25.0,6.3,7.14,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Simeone,TOR,32.0,6.08,7.09,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pulisic,MIL,27.0,6.15,7.07,8.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Esposito F.P.,INT,31.0,6.26,7.02,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
Bonazzoli,CRE,35.0,6.16,7.01,10.0,0.0,3.0,3.0,0.0,2.0,4.0,0.0
Laurientè,SAS,37.0,6.23,6.99,7.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0
Rabiot,MIL,29.0,6.33,6.98,6.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0
Berisha M.,LEC,12.0,6.17,6.92,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Da Cunha,COM,35.0,6.34,6.91,6.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0
Esposito Se.,CAG,36.0,6.26,6.88,7.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0
Raspadori,ATA,13.0,6.12,6.88,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Atta,UDI,32.0,6.36,6.88,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Adzic,JUV,4.0,6.12,6.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elphege,PAR,8.0,6.0,6.88,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nkunku,MIL,26.0,5.94,6.87,7.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0
Leao,MIL,28.0,5.88,6.86,9.0,0.0,2.0,2.0,0.0,3.0,5.0,0.0
Zambo Anguissa,NAP,18.0,6.17,6.86,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Ferguson E.,ROM,14.0,6.11,6.86,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Neres,NAP,16.0,6.19,6.84,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Bonny,INT,27.0,6.15,6.83,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Soulè,ROM,32.0,6.12,6.83,6.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
Castellanos,LAZ,11.0,6.09,6.82,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Bremer,JUV,26.0,6.33,6.81,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0
Zielinski,INT,30.0,6.25,6.8,6.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0
Bowie,VER,14.0,5.96,6.79,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pedro,LAZ,23.0,6.13,6.78,5.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0
Kilicsoy,CAG,16.0,6.03,6.78,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kean,FIO,26.0,5.88,6.77,8.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0
Dovbyk,ROM,13.0,6.0,6.77,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Zaniolo,UDI,31.0,6.26,6.77,5.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0
Orsolini,BOL,34.0,6.06,6.76,10.0,0.0,4.0,6.0,0.0,1.0,2.0,0.0
Dybala,ROM,21.0,6.26,6.74,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0
Barella,INT,34.0,6.28,6.71,3.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0
Conceicao,JUV,30.0,6.28,6.7,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0
Strefezza,PAR,14.0,6.21,6.68,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Messias,GEN,19.0,6.18,6.68,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
McKennie,JUV,34.0,6.13,6.68,5.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0
Modric,MIL,33.0,6.45,6.67,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
Rodriguez Je.,COM,28.0,6.25,6.66,2.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0
Vlasic,TOR,37.0,6.03,6.66,8.0,0.0,5.0,5.0,0.0,3.0,7.0,0.0
Bisseck,INT,23.0,6.22,6.65,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Pellegrino M.,PAR,37.0,5.99,6.65,9.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0
Adams C.,TOR,32.0,5.98,6.64,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Isaksen,LAZ,27.0,6.04,6.63,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Konè I.,SAS,35.0,6.19,6.63,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Mandragora,FIO,34.0,6.04,6.62,7.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0
